name,price,locality,region,postal_code,address,latitude,longitude,description,bedrooms,bathrooms,floor_size_sq_ft,uniq_id,scraped_at
"5887 El Zuparko Dr 1, San Jose, CA 95123",636160.0,San Jose,CA,95123,5887 El Zuparko Dr 1,37.245969,-121.865185,"This Condominium is located at 5887 El Zuparko Dr 1, San Jose, Ca. The estimated value of this home is currently priced at 636,160, approximately $602.42 per square foot. This property was originally built in 1971. 5887 El Zuparko Dr 1 is within the school district San Jose Unified School District with nearby schools including Allen At Steinbeck Elementary School, Allen At Steinbeck Elementary School, and Gunderson High School.",3,2,1056.0,9499902c-56f3-56cf-a89e-01c3fdd45df7,01/07/2022 18:13:43
"322 E Mendocino Ave, Stockton, CA 95204",358530.0,Stockton,CA,95204,322 E Mendocino Ave,37.979333,-121.295494,"This Single Family Residence is located at 322 E Mendocino Ave, Stockton, Ca. The estimated value of this home is currently priced at 358,530, approximately $309.08 per square foot. This property was originally built in 1936. 322 E Mendocino Ave is within the school district Stockton Unified School District with nearby schools including Wilson Elementary School, Wilson Elementary School, and Stagg High School.",2,2,1160.0,6a66bcbb-4c02-5f7c-bbf3-8254add72fab,01/07/2022 18:13:43
"640 Graham Hill Rd, Santa Cruz, CA 95060",1296813.0,Santa Cruz,CA,95060,640 Graham Hill Rd,36.998782,-122.029247,"This Single Family Residence is located at 640 Graham Hill Rd, Santa Cruz, Ca. The estimated value of this home is currently priced at 1,296,813, approximately $804.47 per square foot. This property was originally built in 1955. 640 Graham Hill Rd is within the school district Scotts Valley Unified with nearby schools including Brook Knoll Elementary School, Scotts Valley Middle School, and Scotts Valley High School.",3,2,1612.0,44f76583-5e3e-59e5-8517-f2fd91e6c408,01/07/2022 18:13:43
"4995 Benedict Ct, Oak Park, CA 91377",956968.0,Oak Park,CA,91377,4995 Benedict Ct,34.184038,-118.781716,"This Single Family Residence is located at 4995 Benedict Ct, Oak Park, Ca. The estimated value of this home is currently priced at 956,968, approximately $640.97 per square foot. This property was originally built in 1989. 4995 Benedict Ct is within the school district Oak Park Unified School District with nearby schools including Oak Hills Elementary School, Medea Creek Middle School, and Oak Park High School.",3,2,1493.0,4a0bb9ac-0cbb-575b-80de-aebf43237bf8,01/07/2022 18:13:44
"109 Via Hermosa, Santa Cruz, CA 95060",1547555.0,Santa Cruz,CA,95060,109 Via Hermosa,36.994251,-122.014684,"This Single Family Residence is located at 109 Via Hermosa, Santa Cruz, Ca. The estimated value of this home is currently priced at 1,547,555, approximately $667.05 per square foot. This property was originally built in 1974. 109 Via Hermosa is within the school district Santa Cruz City High School District with nearby schools including De Laveaga Elementary School, Mission Hill Middle School, and Harbor High School.",4,3,2320.0,f0d00ecf-6466-5ec5-862b-ce3518ad9b44,01/07/2022 18:13:44
"1833 Arroyo De Platina, San Jose, CA 95116",967958.0,San Jose,CA,95116,1833 Arroyo De Platina,37.35894,-121.855196,"This Single Family Residence is located at 1833 Arroyo De Platina, San Jose, Ca. The estimated value of this home is currently priced at 967,958, approximately $963.14 per square foot. This property was originally built in 1980. 1833 Arroyo De Platina is within the school district East Side Union High School District with nearby schools including San Antonio Elementary School, Lee Mathson Middle School, and Independence High School.",3,2,1005.0,c9eb0a1f-f020-5d8d-b7b6-67b93a04e99c,01/07/2022 18:13:44
"32126 Village 32, Camarillo, CA 93012",796716.0,Camarillo,CA,93012,32126 Village 32,34.223959,-118.980772,"This Single Family Residence is located at 32126 Village 32, Camarillo, Ca. The estimated value of this home is currently priced at 796,716, approximately $477.93 per square foot. This property was originally built in 1979. 32126 Village 32 is within the school district Oxnard Union High School District with nearby schools including Tierra Linda Elementary School, Las Colinas Middle School, and Adolfo Camarillo High School.",2,2,1667.0,fd4e17e4-d5ef-5f67-8034-4a2e0f96c6a1,01/07/2022 18:13:44
"1413 Ptarmigan Dr 7, Walnut Creek, CA 94595",472450.0,Walnut Creek,CA,94595,1413 Ptarmigan Dr 7,37.856498,-122.06624,"This Condominium is located at 1413 Ptarmigan Dr 7, Walnut Creek, Ca. The estimated value of this home is currently priced at 472,450, approximately $406.58 per square foot. This property was originally built in 1969. 1413 Ptarmigan Dr 7 is within the school district Acalanes Union High School District with nearby schools including Parkmead Elementary School, Walnutcreek Intermediate School, and Las Lomas High School.",2,2,1162.0,9959b499-27b6-5299-9e5a-e3bd035f2bf2,01/07/2022 18:13:44
"740 Vista Lago Dr N, Palm Desert, CA 92211",383789.0,Palm Desert,CA,92211,740 Vista Lago Dr N,33.762611,-116.355552,"This Condominium is located at 740 Vista Lago Dr N, Palm Desert, Ca. The estimated value of this home is currently priced at 383,789, approximately $211.57 per square foot. This property was originally built in 1991. 740 Vista Lago Dr N is within the school district Desert Sands Unified School District with nearby schools including James E Carter Elementary School, Colonel Mitchell Paige Middle School, and Palm Desert High School.",2,3,1814.0,8bda8e9b-d4c6-5fd5-b26b-7faf969ff2ef,01/07/2022 18:13:44
"7721 Cherokee Trl, Yucca Valley, CA 92284",232524.0,Yucca Valley,CA,92284,7721 Cherokee Trl,34.111664,-116.443698,"This Single Family Residence is located at 7721 Cherokee Trl, Yucca Valley, Ca. The estimated value of this home is currently priced at 232,524, approximately $169.85 per square foot. This property was originally built in 1962. 7721 Cherokee Trl is within the school district Morongo Unified School District with nearby schools including Yucca Valley Elementary School, Yucca Valley Elementary School, and Yucca Valley High School.",2,1,1369.0,43e7c999-cd06-54f4-bb55-c20af67feeea,01/07/2022 18:13:44
"197 E 45th St, San Bernardino, CA 92404",259608.0,San Bernardino,CA,92404,197 E 45th St,34.169325,-117.282982,"This Single Family Residence is located at 197 E 45Th St, San Bernardino, Ca. The estimated value of this home is currently priced at 259,608, approximately $324.51 per square foot. This property was originally built in 1952. 197 E 45Th St is within the school district San Bernardino City Unified School District with nearby schools including Arrowhead Elementary School, Golden Valley Middle School, and San Bernardino High School.",2,1,800.0,befe8015-2e0c-53dd-8921-aceb3ac7bb52,01/07/2022 18:13:45
"16 Rue Fontaine, Foothill Ranch, CA 92610",779775.0,Foothill Ranch,CA,92610,16 Rue Fontaine,33.684802,-117.675396,"This Condominium is located at 16 Rue Fontaine, Foothill Ranch, Ca. The estimated value of this home is currently priced at 779,775, approximately $554.21 per square foot. 16 Rue Fontaine is within the school district Saddleback School District with nearby schools including Foothill Ranch Elementary School, Foothill Ranch Elementary School, and Trabuco Hills High School.",3,3,1407.0,b2eee0c3-b8fa-57ea-bc50-924e422c1eaf,01/07/2022 18:13:45
"4065 Porte Ln 165, San Diego, CA 92122",632800.0,San Diego,CA,92122,4065 Porte Ln 165,32.855707,-117.229043,"This Condominium is located at 4065 Porte Ln 165, San Diego, Ca. The estimated value of this home is currently priced at 632,800, approximately $785.11 per square foot. 4065 Porte Ln 165 is within the school district San Diego Unified School District with nearby schools including Doyle Elementary School, Standley Middle School, and University City High School.",2,1,806.0,aba8d96e-aa95-5907-9b8d-20e17546cb18,01/07/2022 18:13:45
"222 Napoli Dr, Brea, CA 92821",829170.0,Brea,CA,92821,222 Napoli Dr,33.923462,-117.898916,"This Single Family Residence is located at 222 Napoli Dr, Brea, Ca. The estimated value of this home is currently priced at 829,170, approximately $378.79 per square foot. This property was originally built in 1964. 222 Napoli Dr is within the school district Brea-Olinda Unified School District with nearby schools including Arovista Elementary School, Brea Junior High School, and Brea-Olinda High School.",4,2,2189.0,54fdaee1-5713-58b9-85c6-2f3f080d3061,01/07/2022 18:13:45
"1884 Playa Riviera Dr, Cardiff By The Sea, CA 92007",1188564.0,Cardiff By The Sea,CA,92007,1884 Playa Riviera Dr,33.023333,-117.272797,"This Single Family Residence is located at 1884 Playa Riviera Dr, Cardiff By The Sea, Ca. The estimated value of this home is currently priced at 1,188,564, approximately $1,173.31 per square foot. 1884 Playa Riviera Dr is within the school district San Dieguito Union High School District with nearby schools including Cardiff Elementary School, Oak Crest Middle School, and La Costa Canyon High School.",3,2,1013.0,0e7d0ad9-3fd5-5485-b56b-de46895ec047,01/07/2022 18:13:45
"230 N Lyn Cir, Palm Springs, CA 92262",877559.0,Palm Springs,CA,92262,230 N Lyn Cir,33.824826,-116.516391,"This Single Family Residence is located at 230 N Lyn Cir, Palm Springs, Ca. The estimated value of this home is currently priced at 877,559, approximately $439.22 per square foot. This property was originally built in 1958. 230 N Lyn Cir is within the school district Palm Springs Unified School District with nearby schools including Katherine Finchy Elementary School, Raymond Cree Middle School, and Palm Springs High School.",4,2,1998.0,c236c4b4-6b10-5ef8-b8dc-b385861e58f4,01/07/2022 18:13:45
"40704 Corte Albara, Murrieta, CA 92562",459580.0,Murrieta,CA,92562,40704 Corte Albara,33.5795,-117.21152,"This Single Family Residence is located at 40704 Corte Albara, Murrieta, Ca. The estimated value of this home is currently priced at 459,580, approximately $363.88 per square foot. This property was originally built in 1998. 40704 Corte Albara is within the school district Murrieta Valley Unified School District with nearby schools including E. Hale Curran School, Shivela Middle School, and Murrieta Mesa High School.",3,2,1263.0,16c09bc7-2b33-55b2-b692-f6a4688fe9a7,01/07/2022 18:13:45
"13579 San Luis Ave, Chino, CA 91710",752976.0,Chino,CA,91710,13579 San Luis Ave,34.00663,-117.712438,"This Single Family Residence is located at 13579 San Luis Ave, Chino, Ca. The estimated value of this home is currently priced at 752,976, approximately $343.20 per square foot. This property was originally built in 1975. 13579 San Luis Ave is within the school district Chino Valley Unified School District with nearby schools including Doris Dickson Elementary School, Doris Dickson Elementary School, and Don Antonio Lugo High School.",4,2,2194.0,5d265e78-c56f-5de4-8381-dbaf91dc0d69,01/07/2022 18:13:46
"448 Graves Ave, San Luis Obispo, CA 93405",905730.0,San Luis Obispo,CA,93405,448 Graves Ave,35.292812,-120.651555,"This Single Family Residence is located at 448 Graves Ave, San Luis Obispo, Ca. The estimated value of this home is currently priced at 905,730, approximately $594.31 per square foot. This property was originally built in 1950. 448 Graves Ave is within the school district San Luis Coastal Unified School District with nearby schools including Bishop'S Peak Elementary School, Bishop'S Peak Elementary School, and San Luis Obispo High School.",4,2,1524.0,cc14cf61-a0eb-5f38-8545-d7f9a3026489,01/07/2022 18:13:46
"3317 Clogston Way, Modesto, CA 95354",412832.0,Modesto,CA,95354,3317 Clogston Way,37.639996,-120.932426,"This Single Family Residence is located at 3317 Clogston Way, Modesto, Ca. The estimated value of this home is currently priced at 412,832, approximately $284.12 per square foot. This property was originally built in 1988. 3317 Clogston Way is within the school district Modesto City High School District with nearby schools including Bernard Hughes Elementary School, Bernard Hughes Elementary School, and Peter Johansen High School.",3,2,1453.0,e109fd9e-5ca3-5c4f-8d39-149ce12837d5,01/07/2022 18:13:46
"586 Lakewood Cir, Walnut Creek, CA 94598",1645392.0,Walnut Creek,CA,94598,586 Lakewood Cir,37.903941,-122.042342,"This Single Family Residence is located at 586 Lakewood Cir, Walnut Creek, Ca. The estimated value of this home is currently priced at 1,645,392, approximately $889.88 per square foot. This property was originally built in 1950. 586 Lakewood Cir is within the school district Acalanes Union High School District with nearby schools including Indian Valley Elementary School, Walnutcreek Intermediate School, and Las Lomas High School.",3,1,1849.0,67a4bdd2-4d41-5205-ba70-dd084f9a254a,01/07/2022 18:13:46
"1534 Rebecca Ln, El Cajon, CA 92019",718956.0,El Cajon,CA,92019,1534 Rebecca Ln,32.784177,-116.925054,"This Single Family Residence is located at 1534 Rebecca Ln, El Cajon, Ca. The estimated value of this home is currently priced at 718,956, approximately $452.17 per square foot. 1534 Rebecca Ln is within the school district Grossmont Union High School District with nearby schools including Meridian Elementary School, Montgomery Middle School, and Valhalla High School.",3,2,1590.0,c861af0a-3f78-5853-b98b-6b3f3b7722f4,01/07/2022 18:13:46
"1211 King Ave, Corcoran, CA 93212",209645.0,Corcoran,CA,93212,1211 King Ave,36.096343,-119.558036,"This Single Family Residence is located at 1211 King Ave, Corcoran, Ca. The estimated value of this home is currently priced at 209,645, approximately $194.84 per square foot. This property was originally built in 1925. 1211 King Ave is within the school district Corcoran Joint Unified School District with nearby schools including Bret Harte Elementary School, John Muir Middle School, and Corcoran High School.",3,1,1076.0,47fd37b3-fea7-5eb3-9208-968e71d4fa89,01/07/2022 18:13:47
"522 Sycamore Pl, Manteca, CA 95336",445483.0,Manteca,CA,95336,522 Sycamore Pl,37.805066,-121.219026,"This Single Family Residence is located at 522 Sycamore Pl, Manteca, Ca. The estimated value of this home is currently priced at 445,483, approximately $296.99 per square foot. This property was originally built in 1984. 522 Sycamore Pl is within the school district Manteca Unified School District with nearby schools including Golden West Elementary School, Golden West Elementary School, and Manteca High School.",3,2,1500.0,8a37522d-0a42-5c35-8625-e3add73bc2c9,01/07/2022 18:13:47
"8667 Jackie Dr, San Diego, CA 92119",1005936.0,San Diego,CA,92119,8667 Jackie Dr,32.811695,-117.011392,"This Single Family Residence is located at 8667 Jackie Dr, San Diego, Ca. The estimated value of this home is currently priced at 1,005,936, approximately $560.10 per square foot. 8667 Jackie Dr is within the school district San Diego Unified School District with nearby schools including Gage Elementary School, Pershing Middle School, and Henry High School.",4,2,1796.0,6032fc70-5217-5898-8994-b5f01f51b131,01/07/2022 18:13:47
"1785 Shamrock Ave, Santa Clara, CA 95051",1614816.0,Santa Clara,CA,95051,1785 Shamrock Ave,37.355157,-121.973576,"This Single Family Residence is located at 1785 Shamrock Ave, Santa Clara, Ca. The estimated value of this home is currently priced at 1,614,816, approximately $979.27 per square foot. This property was originally built in 1956. 1785 Shamrock Ave is within the school district Santa Clara Unified School District with nearby schools including Bowers Elementary School, Cabrillo Middle School, and Adrian Wilcox High School.",3,2,1649.0,e428780f-0fc5-5fee-a624-5e2a2d17cebb,01/07/2022 18:13:47
"717 Wood St, Taft, CA 93268",142128.0,Taft,CA,93268,717 Wood St,35.13295,-119.455363,"This Single Family Residence is located at 717 Wood St, Taft, Ca. The estimated value of this home is currently priced at 142,128, approximately $159.87 per square foot. This property was originally built in 1930. 717 Wood St is within the school district Taft Union High School District with nearby schools including Conley Elementary School, Lincoln Junior High School, and Taft Union High School.",2,1,889.0,c1ef2fb2-2ff7-5a1e-940b-d6d843fceebc,01/07/2022 18:13:48
"8205 Sheffield Ln, Bakersfield, CA 93311",447925.0,Bakersfield,CA,93311,8205 Sheffield Ln,35.344057,-119.09439,"This Single Family Residence is located at 8205 Sheffield Ln, Bakersfield, Ca. The estimated value of this home is currently priced at 447,925, approximately $232.33 per square foot. This property was originally built in 1989. 8205 Sheffield Ln is within the school district Kern High School District with nearby schools including Stockdale Elementary School, Actis Junior High School, and Bakersfield High School.",3,2,1928.0,aeb4d5d2-55fd-51f8-8649-babc29ade034,01/07/2022 18:13:48
"30 McNeill Ave, Encinitas, CA 92024",,Encinitas,CA,92024,30 McNeill Ave,33.044413,-117.291647,"This Duplex is located at 30 McNeill Ave, Encinitas, Ca. 30 McNeill Ave is within the school district San Dieguito Union High School District with nearby schools including Paul Ecke-Central Elementary School, Oak Crest Middle School, and La Costa Canyon High School.",3,3,1564.0,198268b2-113e-57cc-a1d4-9a9674f0face,01/07/2022 18:13:48
"11289 Provencal Pl, San Diego, CA 92128",638789.0,San Diego,CA,92128,11289 Provencal Pl,32.966693,-117.086298,"This Condominium is located at 11289 Provencal Pl, San Diego, Ca. The estimated value of this home is currently priced at 638,789, approximately $598.12 per square foot. 11289 Provencal Pl is within the school district Poway Unified School District with nearby schools including Shoal Creek Elementary School, Meadowbrook Middle School, and Rancho Bernardo High School.",2,2,1068.0,78a2aaa4-75ed-5553-b0ea-4151b0da9586,01/07/2022 18:13:48
"5403 Saddleback Ct, El Sobrante, CA 94803",1142848.0,El Sobrante,CA,94803,5403 Saddleback Ct,37.96105,-122.246677,"This Single Family Residence is located at 5403 Saddleback Ct, El Sobrante, Ca. The estimated value of this home is currently priced at 1,142,848, approximately $364.31 per square foot. This property was originally built in 1990. 5403 Saddleback Ct is within the school district West Contra Costa Unified School District with nearby schools including Olinda Elementary School, Olinda Elementary School, and De Anza High School.",4,3,3137.0,816694b3-c201-519d-ab52-dd72ced4dec2,01/07/2022 18:13:48
"9854 New Hope Rd, Galt, CA 95632",788440.0,Galt,CA,95632,9854 New Hope Rd,38.245792,-121.329722,"This Single Family Residence is located at 9854 New Hope Rd, Galt, Ca and was last sold on 03/28/2012 for 295,000.00. The estimated value of this home is currently priced at 788,440, approximately $362.00 per square foot. This property was originally built in 2015. 9854 New Hope Rd is within the school district Galt Joint Union High School District with nearby schools including Valley Oaks Elementary School, Valley Oaks Elementary School, and Galt High School.",4,2,2178.0,d65b718e-fbb2-58ad-87c3-9347e048b468,01/07/2022 18:13:48
"2803 Johnson Ave, San Luis Obispo, CA 93401",556325.0,San Luis Obispo,CA,93401,2803 Johnson Ave,35.269295,-120.641975,"This Single Family Residence is located at 2803 Johnson Ave, San Luis Obispo, Ca. The estimated value of this home is currently priced at 556,325, approximately $502.55 per square foot. This property was originally built in 1947. 2803 Johnson Ave is within the school district San Luis Coastal Unified School District with nearby schools including Sinsheimer Elementary School, Sinsheimer Elementary School, and San Luis Obispo High School.",2,1,1107.0,623d6a38-8d59-5020-a47f-8f9bba53d639,01/07/2022 18:13:49
"9322 Twin Trails Dr 106, San Diego, CA 92129",505540.0,San Diego,CA,92129,9322 Twin Trails Dr 106,32.95538,-117.127628,"This Condominium is located at 9322 Twin Trails Dr 106, San Diego, Ca. The estimated value of this home is currently priced at 505,540, approximately $545.35 per square foot. 9322 Twin Trails Dr 106 is within the school district Poway Unified School District with nearby schools including Sundance Elementary School, Mesa Verde Middle School, and Westview High School.",2,2,927.0,7f7e4523-7cc2-55a6-8714-61c6eb4e6778,01/07/2022 18:13:49
"1529 Hoover Ave, National City, CA 91950",481393.0,National City,CA,91950,1529 Hoover Ave,32.668743,-117.106116,"This Single Family Residence is located at 1529 Hoover Ave, National City, Ca. The estimated value of this home is currently priced at 481,393, approximately $407.96 per square foot. 1529 Hoover Ave is within the school district Sweetwater Union High School District with nearby schools including Kimball School, National City Middle School, and Sweetwater High School.",2,1,1180.0,66e2522d-52ac-50bf-b738-ec2c75e5d670,01/07/2022 18:13:49
"849 River Rd, Modesto, CA 95351",512710.0,Modesto,CA,95351,849 River Rd,37.626149,-120.980998,"This Single Family Residence is located at 849 River Rd, Modesto, Ca. The estimated value of this home is currently priced at 512,710, approximately $207.41 per square foot. This property was originally built in 1978. 849 River Rd is within the school district Modesto City High School District with nearby schools including Tuolumne Elementary School, Evelyn Hanshaw Middle School, and Peter Johansen High School.",3,3,2472.0,88490e68-3dd2-5b28-b982-4776a9450a08,01/07/2022 18:13:49
"4304 Robbins St, San Diego, CA 92122",1531872.0,San Diego,CA,92122,4304 Robbins St,32.858649,-117.199033,"This Single Family Residence is located at 4304 Robbins St, San Diego, Ca. The estimated value of this home is currently priced at 1,531,872, approximately $802.03 per square foot. 4304 Robbins St is within the school district San Diego Unified School District with nearby schools including Curie Elementary School, Standley Middle School, and University City High School.",3,2,1910.0,bbf52bf9-566e-52cb-bb48-5cb8d2457eda,01/07/2022 18:13:50
"414 Reina Dr, Dinuba, CA 93618",264152.0,Dinuba,CA,93618,414 Reina Dr,36.556698,-119.398748,"This Single Family Residence is located at 414 Reina Dr, Dinuba, Ca. The estimated value of this home is currently priced at 264,152, approximately $211.66 per square foot. This property was originally built in 1972. 414 Reina Dr is within the school district Dinuba Unified School District with nearby schools including Roosevelt Elementary School, Washington Intermediate School, and Dinuba High School.",3,2,1248.0,2a81ce2e-d90a-5414-9657-9cfd70296b2f,01/07/2022 18:13:50
"4285 Del Rio Rd, Atascadero, CA 93422",712584.0,Atascadero,CA,93422,4285 Del Rio Rd,35.512203,-120.681421,"This Single Family Residence is located at 4285 Del Rio Rd, Atascadero, Ca. The estimated value of this home is currently priced at 712,584, approximately $411.42 per square foot. This property was originally built in 1972. 4285 Del Rio Rd is within the school district Atascadero Unified School District with nearby schools including San Benito Road Elementary School, Atascadero Junior High School, and Atascadero High School.",3,2,1732.0,9f3e53ca-6bb6-5d34-997a-8054d2e47c92,01/07/2022 18:13:50
"511 Center St, Laguna Beach, CA 92651",3966074.0,Laguna Beach,CA,92651,511 Center St,33.530139,-117.767658,"This Single Family Residence is located at 511 Center St, Laguna Beach, Ca. The estimated value of this home is currently priced at 3,966,074, approximately $1,103.83 per square foot. This property was originally built in 1969. 511 Center St is within the school district Laguna Beach Unified School District with nearby schools including Top Of The World Elementary School, Thurston Middle School, and Laguna Beach High School.",4,3,3593.0,1cfd8d24-889f-5d14-9d65-6672fcea0bc9,01/07/2022 18:13:50
"1308 W Kaweah Ave, Visalia, CA 93277",447336.0,Visalia,CA,93277,1308 W Kaweah Ave,36.325853,-119.306054,"This Single Family Residence is located at 1308 W Kaweah Ave, Visalia, Ca. The estimated value of this home is currently priced at 447,336, approximately $307.66 per square foot. This property was originally built in 1937. 1308 W Kaweah Ave is within the school district Visalia Unified School District with nearby schools including Conyer Elementary School, Conyer Elementary School, and Mt. Whitney High School.",2,1,1454.0,aabad80f-c0da-51ab-960a-baa8f75114b6,01/07/2022 18:13:51
"6218 Cord Ave, Pico Rivera, CA 90660",753953.0,Pico Rivera,CA,90660,6218 Cord Ave,33.985694,-118.083633,"This Single Family Residence is located at 6218 Cord Ave, Pico Rivera, Ca. The estimated value of this home is currently priced at 753,953, approximately $441.94 per square foot. This property was originally built in 1949. 6218 Cord Ave is within the school district El Rancho Unified School District with nearby schools including Valencia Elementary School, Rivera Middle School, and El Rancho High School.",4,3,1706.0,e7c43e69-9633-5257-88f0-f61c8c3cbac7,01/07/2022 18:13:51
"40875 Lois Ct, Hemet, CA 92544",338472.0,Hemet,CA,92544,40875 Lois Ct,33.733653,-116.947864,"This Single Family Residence is located at 40875 Lois Ct, Hemet, Ca. The estimated value of this home is currently priced at 338,472, approximately $295.09 per square foot. This property was originally built in 1968. 40875 Lois Ct is within the school district Hemet Unified School District with nearby schools including Ramona Elementary School, Acacia Middle School, and Hemet High School.",2,2,1147.0,42d6f65f-a4f6-56e2-9b10-5caf683f26a3,01/07/2022 18:13:51
"16322 Golden Gate Ln, Huntington Beach, CA 92649",893604.0,Huntington Beach,CA,92649,16322 Golden Gate Ln,33.724947,-118.037482,"This Single Family Residence is located at 16322 Golden Gate Ln, Huntington Beach, Ca. The estimated value of this home is currently priced at 893,604, approximately $796.44 per square foot. This property was originally built in 1960. 16322 Golden Gate Ln is within the school district Huntington Beach Union High School District with nearby schools including Village View Elementary School, Marine View Middle School, and Marina High School.",3,2,1122.0,e9307b9b-9f51-57a5-9f8e-b716cd87ebe9,01/07/2022 18:13:51
